"dataset","formato","URLdataset","URLsezione","tracciaRecordAttributi","UbicazionePresenzaAttributo","IndirizzoCompletoPresenzaAttributo","DatiCatastaliPresenzaAttributo","SuperficiePresenzaAttributo","PeriodoCostruzionePresenzaAttributo","ValoreAttualePresenzaAttributo","NonPubblicato","PubblicatoMale","URIdbpediaEnte"
"http://trasparenza.nexacenter.org/id/PatrimonioImmobiliareTeramo","http://trasparenza.nexacenter.org/id/Pdf_vettoriale","http://www.comune.teramo.it/uploads/contents/c_83/patrimonio_beni_immobii.pdf","http://www.comune.teramo.it/index.php?id=195","Destinaz. specifica , Denominazione IMCI , Indirizzo MMCI , Comune ICI , FG_PLLA , Valore art.230 dlgs 267 del 2000",1,0,1,0,0,1,,,"http://it.dbpedia.org/resource/Teramo"
"http://trasparenza.nexacenter.org/id/PatrimonioImmobiliareTerni","http://trasparenza.nexacenter.org/id/Csv","http://www.comune.terni.it/amministrazione_trasparente/files/allegati/2014/patrimonio2013_1401974279.csv","http://www.comune.terni.it/canale.php?idc=565","NATURA DEL BENE ,STATO DI ACCATASTAMENTO , LOCALIZZAZIONE GEOGRAFICA , INDIRIZZO	NUMERO CIVICO , DENOMINAZIONE DEL BENE , FOGLIO CATASTO (Ordinario) , PARTICELLA/ MAPPALE  CATASTO (Ordinario) , SUBALTERNO , TITOLO DI UTILIZZO/ DETENZIONE ,	Immobile/ terreno in COMPROPRIETA' , TIPOLOGIA DELL'IMMOBILE , TIPOLOGIA DEL TERRENO , 	NATURA GIURIDICA DEL BENE , SUPERFICIE (mq) , CUBATURA (mc) , SUPERFICIE AREE PERTINENZIALI , TERRENO EDIFICABILE , DIRITTI DI SUPERFICIE ESISTENTE A FAVORE DI TERZI",1,0,1,1,0,0,,,"http://it.dbpedia.org/resource/Terni"
"http://trasparenza.nexacenter.org/id/PatrimonioImmobiliarePiacenza","http://trasparenza.nexacenter.org/id/Rtf","http://www.comune.piacenza.it/comune/trasparenza/amministrazionetrasparente/beniimmobiliepatrimonio/patrimonio-immobiliare/patrimonio-immobiliare/at_download/file","http://www.comune.piacenza.it/comune/trasparenza/amministrazionetrasparente/beniimmobiliepatrimonio/patrimonio-immobiliare/patrimonio-immobiliare/view","Ubicazione ,  Tipologia ,  Durata della concessione ,  Canone a carico del concessionario ,   Concessionario / scopo della concessione / utilizzo del bene",1,0,0,0,0,1,,,"http://it.dbpedia.org/resource/Piacenza"
"http://trasparenza.nexacenter.org/id/PatrimonioImmobiliareSanluri",,,"http://www.comune.sanluri.vs.it/servizi/Menu/dinamica.aspx?idArea=20047&idCat=20074&ID=20074&TipoElemento=categoria",,0,0,0,0,0,0,1,,"http://it.dbpedia.org/resource/Sanluri"
"http://trasparenza.nexacenter.org/id/PatrimonioImmobiliarePotenza",,,,,0,0,0,0,0,0,1,,"http://it.dbpedia.org/resource/Potenza_%28Italia%29"
"http://trasparenza.nexacenter.org/id/PatrimonioImmobiliarePisa","http://trasparenza.nexacenter.org/id/Csv","http://www.comune.pisa.it/uploads/2013_12_20_10_49_41.csv","http://www.comune.pisa.it/it/ufficio-scheda/13346/Patrimonio-Immobiliare.html","Fabbricati , Classificazione , Codici Inventario , Descrizione , Dati Catastali",1,0,1,0,0,0,,,"http://it.dbpedia.org/resource/Pisa"
"http://trasparenza.nexacenter.org/id/PatrimonioImmobiliarePistoia","http://trasparenza.nexacenter.org/id/Pdf_vettoriale","http://www.comune.pistoia.it/media/Pubblicita_Dlgs_33.2013_-_Inventario_fabbricati_30.11.2013_-_PDF.pdf","http://www.comune.pistoia.it/2215/beni%20immobili%20e%20gestione%20del%20patrimonio","Denominazione , Indirizzo , Note , Valore nettp , Foglio ,  Partic. , Sub. , Unità mis., Superf lorda compl. , Superf. coperta al suolo , Piano , anno costr. , Anno ristr , Tutela sotrico culturale",1,0,1,1,1,1,,,"http://it.dbpedia.org/resource/Pistoia"
"http://trasparenza.nexacenter.org/id/PatrimonioImmobiliarePordenone","http://trasparenza.nexacenter.org/id/Xls","http://www.comune.pordenone.it/it/comune/amministrazione-trasparente/beni-immobili-e-gestione-patrimonio/patrimonio-immobiliare/Elenco-Immobili-In-Proprieta.xls/at_download/file","http://www.comune.pordenone.it/it/comune/amministrazione-trasparente/beni-immobili-e-gestione-patrimonio/patrimonio-immobiliare/Elenco-Immobili-In-Proprieta.xls/view","Denominazione dell'immobile , Indirizzo , Numero civico	, Tipo bene ,	Foglio ,	Numero particella , Subalterno , Tipologia del bene , Superficie totale lorda , Cubatura , Superficie complessiva aree pertinenziali , Titolo di utilizzo/detenzione  , Denominazione Proprietario , Finalità , Altra Finalità",1,1,1,1,0,0,,,"http://it.dbpedia.org/resource/Pordenone"
"http://trasparenza.nexacenter.org/id/PatrimonioImmobiliareModena","http://trasparenza.nexacenter.org/id/Ods","http://www.comune.modena.it/il-comune/amministrazione-trasparente/beni-immobili-e-gestione-patrimonio/patrimonio-immobiliare/beni-immobili-2013","http://www.comune.modena.it/il-comune/amministrazione-trasparente/beni-immobili-e-gestione-patrimonio/patrimonio-immobiliare","CODICE INVENTARIALE , TIPOLOGIA INVENTARIALE ,DESCRIZIONE TIPOLOGIA INVENTARIALE ,	PROVINCIA , COMUNE ,FOGLIO CATASTALE , VIA / PIAZZA , ESP , SCA , INTERNO , PIANO ,	CIRC , DENOMINAZIONE INVENTARIALE , TITOLO DI DIRITTO ,NOTE AL TITOLO DI DIRITTO , CLASSIFICAZIONE GIURIDICA , CODICE IMMOBILE , DENOMINAZIONE IMMOBILE",1,1,1,0,0,0,,,"http://it.dbpedia.org/resource/Modena"
"http://trasparenza.nexacenter.org/id/PatrimonioImmobiliareCaserta","http://trasparenza.nexacenter.org/id/Pdf_raster","http://trasparenza.comune.caserta.it/archiviofile/caserta/inventario_immobili_comunali.pdf","http://trasparenza.comune.caserta.it/pagina734_patrimonio-immobiliare.html","Denominazione ,  area circolazione , Locazione , Area  circolare ,  Località , Inizio , Termine",0,0,0,0,0,0,,1,"http://it.dbpedia.org/resource/Caserta"
